 24 3593.785076 7.067E-30 2.360E-03.06990.091 1596.55570.73-.003063       3 1 1 01       0 2 2 01                    R 26e     3666632432 9 9 711   330.0  318.0
 11 3593.791230 5.368E-24 1.779E-03.08990.454  382.51690.84-.009816          1 0 0          0 0 0  5  0  5        4  3  2      587777305910162545    33.0   27.0
 22 3593.791445 1.280E-29 1.557E+01.08620.118 3565.08840.69-.003579       1 2 2 21       0 2 2 11                    P  4f     3666632431 9 9 711    14.0   18.0
 21 3593.793514 2.330E-30 1.208E-04.07090.094 2820.13770.72-.003123       4 1 1 02       1 2 2 02                    Q 24e     3666632429 9 9 711    49.0   49.0
 24 3593.798702 2.264E-29 3.089E-03.06610.075 1520.48650.74-.004903       0 3 3 11       0 1 1 01                    P 47f     3665632432 9 9 711   558.0  570.0
 21 3593.804429 2.320E-30 1.174E-04.08010.109 2620.29600.68-.002470       4 1 1 02       1 2 2 02                    Q  9f     3666632429 9 9 711    19.0   19.0
 21 3593.810518 1.731E-27 3.511E-03.06570.074 2293.88680.74-.004954       0 4 4 11       0 2 2 01                    P 49f     3665632429 9 9 711    97.0   99.0
 22 3593.812060 2.570E-30 1.855E+01.07250.097 4295.08330.71-.003561       2 1 1 22       1 1 1 12                    R 19f     3666632431 9 9 711    82.0   78.0
 22 3593.817111 8.630E-29 2.361E+01.07160.095 3631.55870.71-.004248       3 1 1 11       2 1 1 01                    P 22f     3366632430 9 9 711    86.0   90.0
 21 3593.819072 3.632E-23 8.862E+00.06780.083 1805.25230.74-.004611       2 0 0 13       1 0 0 02                    R 36e     3766632429 9 9 711    75.0   73.0
 21 3593.826296 2.553E-30 1.205E-04.07160.095 2783.30970.71-.003052       4 1 1 02       1 2 2 02                    Q 22e     3666632429 9 9 711    45.0   45.0
 12 3593.834892 8.712E-28 1.990E+00.09030.405 2116.13850.72-.008940          0 1 1          0 1 0  5  1  4        5  3  3      544543807294163152    11.0   11.0
 21 3593.836767 7.355E-30 1.007E-01.06780.083 4049.32470.74-.003532       5 0 0 01       2 1 1 01                    P 37e     3666632429 9 9 711    73.0   75.0
 23 3593.845171 5.052E-30 1.983E+01.08110.111 3597.44200.68-.003849       2 0 0 22       1 0 0 12                    P  8e     3666632432 9 9 711    15.0   17.0
 21 3593.856719 5.284E-30 1.078E+01.05220.063 5272.39850.61-.006565       2 1 1 13       1 1 1 02                    R 92f     3544432433 9 9 711   187.0  185.0
